StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Temperature,Humidity,Rainfall,Pressure,WindSpeed,WindDirection,CloudCover,target_1h,target_3h,target_6h
MH007,2019-06-04 10:00:00,9.0,48.49,43.02,12.84,55.85,14.66,0.47,6.47,6.29,9.44,,,,,31.3,66,0.2,1007.9,17.7,264,71,7.27,19.5,16.87
MH007,2019-06-04 11:00:00,7.27,73.58,36.62,15.18,51.8,13.67,0.35,5.5,9.09,8.65,,,,,32.1,63,0.1,1007.5,18.4,272,71,9.6,16.67,17.0
MH007,2019-06-04 12:00:00,9.6,55.07,42.89,13.66,56.56,8.73,0.26,0.85,11.95,7.11,,,,,32.5,61,0.0,1006.9,18.4,281,60,19.5,16.0,
MH007,2019-06-04 13:00:00,19.5,58.16,26.21,13.66,39.87,6.52,0.2,3.01,15.03,6.02,,,,,32.3,61,0.0,1006.1,17.5,284,14,16.67,16.87,
MH007,2019-06-04 14:00:00,16.67,64.89,35.01,14.36,49.36,7.19,0.25,3.6,10.23,5.0,,,,,32.4,58,0.0,1005.4,18.1,283,2,16.0,17.0,
MH007,2019-06-04 15:00:00,16.0,60.35,29.95,14.77,44.73,8.3,0.26,4.03,14.01,4.36,,,,,32.3,56,0.0,1004.6,18.2,278,3,16.87,,
MH007,2019-06-04 16:00:00,16.87,73.82,33.78,18.98,52.77,9.16,0.38,8.76,11.2,4.07,,,,,31.7,57,0.0,1004.4,17.2,280,11,17.0,,
MH007,2019-06-04 17:00:00,17.0,66.15,32.76,19.55,52.31,12.48,0.4,6.65,8.9,3.61,,,,,30.8,66,0.0,1004.2,15.1,282,17,,,
MH007,2019-06-04 18:00:00,,,,,,,,,,,,,,,30.1,70,0.0,1004.5,13.5,279,58,,,
MH007,2019-06-04 19:00:00,,,,,,,,,,,,,,,29.5,70,0.0,1004.8,10.5,278,66,,,
MH007,2019-06-04 20:00:00,,,,,,,,,,,,,,,29.4,70,0.0,1005.4,9.7,274,48,,,
MH007,2019-06-04 21:00:00,,,,,,,,,,,,,,,29.1,73,0.0,1006.0,10.1,274,24,,,
MH007,2019-06-04 22:00:00,,,,,,,,,,,,,,,28.8,76,0.0,1006.4,9.7,274,29,,,
MH007,2019-06-04 23:00:00,,,,,,,,,,,,,,,28.6,78,0.0,1006.6,7.6,275,30,,,
MH007,2019-06-05 00:00:00,,,,,,,,,,,,,,,28.3,80,0.0,1006.2,7.7,281,32,,,
MH007,2019-06-05 01:00:00,,,,,,,,,,,,,,,28.3,80,0.0,1005.7,8.6,292,44,,,
MH007,2019-06-05 02:00:00,,,,,,,,,,,,,,,28.1,81,0.0,1005.2,7.9,300,60,,,
MH007,2019-06-05 03:00:00,,,,,,,,,,,,,,,28.1,80,0.0,1005.0,6.6,299,77,,,
MH007,2019-06-05 04:00:00,,,,,,,,,,,,,,,28.3,79,0.0,1005.1,5.6,297,53,,,
MH007,2019-06-05 05:00:00,,,,,,,,,,,,,,,28.7,78,0.0,1005.3,7.3,281,52,,,
MH007,2019-06-05 06:00:00,,,,,,,,,,,,,,,29.1,76,0.0,1005.6,9.3,283,53,,,
MH007,2019-06-05 07:00:00,,,,,,,,,,,,,,,29.8,72,0.0,1006.2,11.0,289,55,,,
MH007,2019-06-05 08:00:00,,,,,,,,,,,,,,,30.5,69,0.1,1006.8,11.2,291,65,,,
MH007,2019-06-05 09:00:00,,,,,,,,,,,,,,,31.2,66,0.1,1007.0,10.0,291,82,,,
MH007,2019-06-05 10:00:00,,,,,,,,,,,,,,,32.0,63,0.1,1007.1,11.3,297,100,,,
MH007,2019-06-05 11:00:00,,,,,,,,,,,,,,,32.4,62,0.0,1006.6,15.0,294,100,,,
MH007,2019-06-05 12:00:00,,,,,,,,,,,,,,,32.5,61,0.0,1005.8,20.5,288,13,,,
MH007,2019-06-05 13:00:00,,,,,,,,,,,,,,,32.6,59,0.0,1005.0,20.7,290,0,,,
